,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Smells Like Teen Spirit,Nevermind (Remastered),Nirvana,1991-09-26,301920,78,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,116.761,4
1,Zombie,No Need To Argue,The Cranberries,1994-10-03,306426,24,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,166.973,4
2,Enter Sandman,Metallica,Metallica,1991-08-12,331573,0,0.00206,0.579,0.824,0.00903,0.059,-8.71,0.03,123.331,4
3,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,264306,81,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581,4
4,Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,1992,313573,78,0.0266,0.466,0.833,0.0,0.0327,-4.215,0.304,88.785,4
5,Alive,Ten,Pearl Jam,1991,341160,0,0.00536,0.298,0.826,1.5e-05,0.44,-8.052,0.0405,75.427,4
6,Wonderwall - Remastered,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Oasis,1995-10-02,258732,2,0.000453,0.372,0.865,0.0,0.234,-4.918,0.0381,174.53,4
7,Come As You Are,Nevermind (Remastered),Nirvana,1991-09-26,218920,75,0.00016,0.5,0.824,0.00161,0.0916,-5.846,0.0388,120.125,4
8,Bitter Sweet Symphony,Urban Hymns,The Verve,1997-09-29,358426,1,0.0415,0.389,0.889,0.0,0.463,-6.546,0.0442,171.121,4
9,Black Hole Sun,Superunknown (Deluxe Edition),Soundgarden,1994-03-09,318586,76,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,105.435,4
10,Song 2 - 2012 Remaster,Blur (Special Edition),Blur,1997-02-10,121160,77,0.00178,0.674,0.789,0.0071,0.0754,-6.903,0.0676,129.804,4
11,Losing My Religion,Out Of Time,R.E.M.,1991-03-12,268933,0,0.0943,0.7,0.686,1.93e-06,0.0847,-10.338,0.0279,125.412,4
