,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,State Of Grace (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,295413,83,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,4
1,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,223093,85,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,4
2,Treacherous (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,242720,82,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,4
3,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,219760,83,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,4
4,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,329160,84,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,4
5,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,230960,82,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,4
6,I Almost Do (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,244586,81,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,4
7,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,193146,82,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,4
8,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,205786,80,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,4
9,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,2021-11-12,299080,81,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,4
10,Holy Ground (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,202960,80,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,4
11,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,284773,79,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,3
12,The Lucky One (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,240466,79,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,4
13,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,2021-11-12,245426,81,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,4
14,Starlight (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,220413,79,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,4
15,Begin Again (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,238866,80,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,4
16,The Moment I Knew (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,285280,79,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,4
17,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,223333,79,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,4
18,Girl At Home (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,220520,78,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,4
19,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,321640,78,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,3
20,Ronan (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,264253,77,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,4
21,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,297013,81,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,4
22,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,258812,83,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,4
23,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,224240,80,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,4
24,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,225960,81,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,4
25,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,285106,82,0.167,0.391,0.715,0.0,0.183,-4.516,0.0495,149.654,3
26,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,263533,79,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,4
27,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,240226,83,0.817,0.61,0.488,0.0,0.312,-6.918,0.0293,125.039,4
28,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,200280,80,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,4
29,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,613026,90,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,4
30,State Of Grace (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,295413,64,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,4
31,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,223093,65,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,4
32,Treacherous (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,242720,63,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,4
33,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,219760,68,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,4
34,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,329160,67,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,4
35,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,230960,66,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,4
36,I Almost Do (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,244586,62,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,4
37,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,193146,66,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,4
38,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,205786,62,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,4
39,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,2021-11-12,299080,61,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,4
40,Holy Ground (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,202960,61,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,4
41,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,284773,61,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,3
42,The Lucky One (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,240466,60,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,4
43,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,2021-11-12,245426,63,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,4
44,Starlight (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,220413,61,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,4
45,Begin Again (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,238866,60,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,4
46,The Moment I Knew (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,285280,60,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,4
47,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,223333,59,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,4
48,Girl At Home (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,220520,59,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,4
49,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,321640,58,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,3
50,Ronan (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,264253,59,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,4
51,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,297013,64,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,4
52,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,258812,62,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,4
53,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,224240,60,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,4
